,team_id,cgpa,onlineCourse,completeCourse,internetspeed<,Year_1.0,Year_2.0,Year_3.0,Year_4.0,Gender_0.0,Gender_1.0,Gender_3.0,elsiLab_0.0,elsiLab_1.0,elsiLab_2.0,ssc_board_0.0,ssc_board_1.0,ssc_board_2.0,ssc_board_3.0,ssc_board_4.0,hsc_board_0.0,hsc_board_1.0,hsc_board_2.0,hsc_board_3.0,hsc_board_4.0,workstation_1.0,workstation_2.0,sub_ros_0.0,sub_ros_1.0,sub_ros_2.0,sub_ros_3.0,sub_ros_4.0,sub_ip_0.0,sub_ip_1.0,sub_ip_2.0,sub_ip_3.0,sub_ip_4.0,sub_emb_c_0.0,sub_emb_c_1.0,sub_emb_c_2.0,sub_emb_c_3.0,sub_emb_c_4.0,sub_ml_0.0,sub_ml_1.0,sub_ml_2.0,sub_ml_3.0,sub_ml_4.0,sub_ap_0.0,sub_ap_1.0,sub_ap_2.0,sub_ap_3.0,sub_ap_4.0,sub_cs_0.0,sub_cs_1.0,sub_cs_2.0,sub_cs_3.0,sub_cs_4.0,sub_mss_0.0,sub_mss_1.0,sub_mss_2.0,sub_mss_3.0,sub_mss_4.0,sub_fpga_0.0,sub_fpga_1.0,sub_fpga_2.0,sub_fpga_3.0,sub_fpga_4.0,sub_mm_0.0,sub_mm_1.0,sub_mm_2.0,sub_mm_3.0,sub_mm_4.0,sub_de_0.0,sub_de_1.0,sub_de_2.0,sub_de_3.0,sub_de_4.0,preference1_0.0,preference1_1.0,preference1_2.0,preference1_3.0,preference1_4.0,preference1_5.0,preference2_0.0,preference2_1.0,preference2_2.0,preference2_3.0,preference2_4.0,preference2_5.0,preference3_0.0,preference3_1.0,preference3_2.0,preference3_3.0,preference3_4.0,preference3_5.0,preference4_0.0,preference4_1.0,preference4_2.0,preference4_3.0,preference4_4.0,preference4_5.0,preference5_0.0,preference5_1.0,preference5_2.0,preference5_3.0,preference5_4.0,preference5_5.0,preference6_0.0,preference6_1.0,preference6_2.0,preference6_3.0,preference6_4.0,preference6_5.0,IS_eLSI_0,IS_eLSI_1,Participation_Freq_0,Participation_Freq_1,Participation_Freq_2,Participation_Freq_3,Internet_option_freq_0,Internet_option_freq_1,Internet_option_freq_2,Internet_option_freq_3,Internet_option_freq_4,Internet_option_freq_5,Department_category_0.0,Department_category_1.0,Department_category_2.0,Department_category_3.0,RAM_avg,Geekbench_score_avg
0,1001,8.4375,2.75,1.0,1.0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,3,1,0,0,0,4,0,2,2,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,2,2,0,0,0,0,3,1,0,0,4,0,0,0,1771.5,1276.0
1,1002,8.4435,5.75,4.5,50.0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,4,0,1,3,0,0,0,2,0,1,1,0,2,2,0,0,0,3,1,0,0,0,2,0,2,0,0,3,1,0,0,0,3,1,0,0,0,1,3,0,0,0,2,1,1,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,1,2,1,0,0,3,0,1,0,0,3,1,0,0,1852.75,1253.25
2,1004,8.8525,6.0,5.5,150.0,0,1,3,0,4,0,0,0,3,1,2,2,0,0,0,2,2,0,0,0,4,0,1,1,0,1,1,0,0,1,3,0,1,3,0,0,0,0,0,1,2,1,1,2,1,0,0,0,0,2,2,0,1,0,1,2,0,4,0,0,0,0,1,1,1,1,0,1,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,4,0,0,0,0,1,0,3,0,3266.75,2084.375
3,1005,8.65,5.75,4.0,200.0,0,0,0,4,4,0,0,0,1,3,1,3,0,0,0,1,3,0,0,0,4,0,0,2,1,1,0,0,1,3,0,0,2,2,0,0,0,0,1,3,0,0,2,2,0,0,0,0,3,1,0,0,0,1,1,2,0,4,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,3,1,3711.75,2248.375
4,1006,7.549675000000001,0.5,0.5,100.0,0,4,0,0,4,0,0,0,0,4,1,3,0,0,0,1,3,0,0,0,4,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,3,1,0,0,2969.5,1885.25
5,1007,8.09,4.5,4.0,100.0,0,0,0,4,4,0,0,0,0,4,0,2,2,0,0,0,2,1,0,1,4,0,0,4,0,0,0,0,0,4,0,0,0,1,0,3,0,0,2,1,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,1,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,1,3,0,0,0,1,3,0,0,0,4,0,0,0,2550.0,1648.375
6,1010,8.197275,1.0,0.0,100.0,0,4,0,0,3,1,0,0,0,4,3,1,0,0,0,3,1,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,4,0,0,0,0,0,2,1,1,3751.25,2351.5
7,1011,9.305,5.25,3.25,100.0,0,0,4,0,3,1,0,0,4,0,3,1,0,0,0,3,1,0,0,0,4,0,1,1,2,0,0,1,1,2,0,0,0,1,2,1,0,1,1,1,1,0,0,2,1,1,0,0,1,2,1,0,0,1,2,1,0,3,1,0,0,0,0,2,2,0,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,4,0,0,0,0,1,3,0,0,0,4,0,0,0,1750.25,1226.625
8,1012,8.28,2.75,2.75,10.0,0,0,0,4,4,0,0,0,0,4,3,1,0,0,0,4,0,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,1,3,0,0,0,4,0,0,0,0,3,1,0,0,1693.75,1149.875
9,1013,8.8075,4.5,3.75,10.0,0,0,4,0,2,2,0,0,4,0,1,3,0,0,0,4,0,0,0,0,4,0,2,1,0,1,0,3,0,1,0,0,3,0,1,0,0,4,0,0,0,0,2,0,2,0,0,2,1,1,0,0,4,0,0,0,0,4,0,0,0,0,3,0,1,0,0,2,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,2,2,0,0,0,3,1,0,0,0,3,1,0,0,1613.25,1152.0
